day,daily_count,n_feeds,cumulative_count
2026-05-30,324,153,324
2026-05-31,2597,1320,2921
2026-06-01,17543,2922,20464
2026-06-02,17648,2816,38112
2026-06-03,16928,2820,55040
2026-06-04,13895,2577,68935
2026-06-05,17015,2759,85950
2026-06-06,9013,2376,94963
2026-06-07,11833,2557,106796
2026-06-08,17137,2974,123933
2026-06-09,17395,2960,141328
2026-06-10,13252,2962,154580
2026-06-11,18783,2991,173363
2026-06-12,18030,2923,191393
2026-06-13,10540,2436,201933
2026-06-14,13159,2628,215092
2026-06-15,17709,2931,232801
2026-06-16,18601,2999,251402
2026-06-17,16789,2919,268191
2026-06-18,19059,2987,287250
2026-06-19,18078,2926,305328
2026-06-20,13375,2486,318703
2026-06-21,12066,2615,330769
2026-06-22,18705,2982,349474
2026-06-23,18125,3016,367599
2026-06-24,3368,1975,370967
